group,iri,type,thesaurus,description,comments,examples,required
Record-level,http://purl.org/dc/elements/1.1/type,,http://rs.gbif.org/vocabulary/dcterms/type.xml,,,,
Record-level,http://purl.org/dc/terms/modified,date,,,,,
Record-level,http://purl.org/dc/elements/1.1/language,,,,,,
Record-level,http://purl.org/dc/terms/license,,,,,,
Record-level,http://purl.org/dc/terms/rightsHolder,,,,,,
Record-level,http://purl.org/dc/terms/accessRights,,,,,,
Record-level,http://purl.org/dc/terms/bibliographicCitation,,,,,,
Record-level,http://purl.org/dc/terms/references,uri,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/institutionID,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/datasetID,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/institutionCode,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/datasetName,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/informationWithheld,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/dataGeneralizations,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/dynamicProperties,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/parentEventID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventType,,,,,,
Event,http://rs.tdwg.org/dwc/terms/fieldNumber,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventDate,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventTime,,,,,,
Event,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/endDayOfYear,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/year,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/month,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/day,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/verbatimEventDate,,,,,,
Event,http://rs.tdwg.org/dwc/terms/habitat,,,,,,
Event,http://rs.tdwg.org/dwc/terms/samplingProtocol,,,,,,
Event,http://rs.tdwg.org/dwc/terms/sampleSizeValue,,,,,,
Event,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,,http://rs.gbif.org/vocabulary/gbif/unit_of_measurement_2015-07-10.xml,,,,
Event,http://rs.tdwg.org/dwc/terms/samplingEffort,,,,,,
Event,http://rs.tdwg.org/dwc/terms/fieldNotes,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventRemarks,,,,,,
Location,http://rs.tdwg.org/dwc/terms/locationID,,,,,,
Location,http://rs.tdwg.org/dwc/terms/higherGeographyID,,,,,,
Location,http://rs.tdwg.org/dwc/terms/higherGeography,,,,,,
Location,http://rs.tdwg.org/dwc/terms/continent,,,,,,
Location,http://rs.tdwg.org/dwc/terms/waterBody,,,,,,
Location,http://rs.tdwg.org/dwc/terms/islandGroup,,,,,,
Location,http://rs.tdwg.org/dwc/terms/island,,,,,,
Location,http://rs.tdwg.org/dwc/terms/country,,,,,,
Location,http://rs.tdwg.org/dwc/terms/countryCode,,,,,,
Location,http://rs.tdwg.org/dwc/terms/stateProvince,,,,,,
Location,http://rs.tdwg.org/dwc/terms/county,,,,,,
Location,http://rs.tdwg.org/dwc/terms/municipality,,,,,,
Location,http://rs.tdwg.org/dwc/terms/locality,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimLocality,,,,,,
Location,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimElevation,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verticalDatum,,,,,,
Location,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimDepth,,,,,,
Location,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/locationAccordingTo,,,,,,
Location,http://rs.tdwg.org/dwc/terms/locationRemarks,,,,,,
Location,http://rs.tdwg.org/dwc/terms/decimalLatitude,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/decimalLongitude,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/geodeticDatum,,,,,,
Location,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/coordinatePrecision,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimLatitude,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimLongitude,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,,,,,,
Location,http://rs.tdwg.org/dwc/terms/verbatimSRS,,,,,,
Location,http://rs.tdwg.org/dwc/terms/footprintWKT,,,,,,
Location,http://rs.tdwg.org/dwc/terms/footprintSRS,,,,,,
Location,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,decimal,,,,,
Location,http://rs.tdwg.org/dwc/terms/georeferencedBy,,,,,,
Location,http://rs.tdwg.org/dwc/terms/georeferencedDate,,,,,,
Location,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,,,,,,
Location,http://rs.tdwg.org/dwc/terms/georeferenceSources,,,,,,
Location,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/geologicalContextID,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone,,,,,,
GeologicalContext,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,,,,,,
