group,iri,type,thesaurus,description,comments,examples,required
Record-level,http://purl.org/dc/elements/1.1/type,,http://rs.gbif.org/vocabulary/dcterms/type.xml,,,,
Record-level,http://purl.org/dc/terms/modified,date,,,,,
Record-level,http://purl.org/dc/elements/1.1/language,,,,,,
Record-level,http://purl.org/dc/terms/license,,,,,,
Record-level,http://purl.org/dc/terms/rightsHolder,,,,,,
Record-level,http://purl.org/dc/terms/accessRights,,,,,,
Record-level,http://purl.org/dc/terms/bibliographicCitation,,,,,,
Record-level,http://purl.org/dc/terms/references,uri,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/feedbackURL,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/institutionID,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/collectionID,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/datasetID,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/institutionCode,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/collectionCode,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/datasetName,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/basisOfRecord,,http://rs.gbif.org/vocabulary/dwc/basis_of_record_2024-02-19.xml,,,,true
Record-level,http://rs.tdwg.org/dwc/terms/informationWithheld,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/dataGeneralizations,,,,,,
Record-level,http://rs.tdwg.org/dwc/terms/dynamicProperties,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/occurrenceID,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/catalogNumber,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/recordNumber,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/recordedBy,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/recordedByID,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/individualCount,integer,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/organismQuantity,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/organismQuantityType,,http://rs.gbif.org/vocabulary/gbif/quantity_type_2015-07-10.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/sex,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/lifeStage,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/reproductiveCondition,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/caste,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/behavior,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/vitality,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/establishmentMeans,,http://rs.gbif.org/vocabulary/dwc/establishment_means_2025-07-10.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,,http://rs.gbif.org/vocabulary/dwc/degree_of_establishment_2025-07-10.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/pathway,,http://rs.gbif.org/vocabulary/dwc/pathway_2025-07-10.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/occurrenceStatus,,http://rs.gbif.org/vocabulary/gbif/occurrence_status_2020-07-15.xml,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/associatedMedia,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/associatedOccurrences,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/associatedReferences,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/associatedTaxa,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,,,,,,
Occurrence,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/organismID,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/organismName,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/organismScope,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/associatedOrganisms,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/previousIdentifications,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/organismRemarks,,,,,,
Organism,http://rs.tdwg.org/dwc/terms/causeOfDeath,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/materialEntityID,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/digitalSpecimenID,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/materialEntityType,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/discipline,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/preparations,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/disposition,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/verbatimLabel,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/associatedSequences,,,,,,
MaterialEntity,http://rs.tdwg.org/dwc/terms/materialEntityRemarks,,,,,,
MaterialSample,http://rs.tdwg.org/dwc/terms/materialSampleID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/parentEventID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventType,,,,,,
Event,http://rs.tdwg.org/dwc/terms/projectTitle,,,,,,
Event,http://rs.tdwg.org/dwc/terms/projectID,,,,,,
Event,http://rs.tdwg.org/ac/terms/fundingAttribution,,,,,,
Event,http://rs.tdwg.org/dwc/terms/fundingAttributionID,,,,,,
Event,http://rs.tdwg.org/dwc/terms/fieldNumber,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventDate,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventTime,,,,,,
Event,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/endDayOfYear,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/year,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/month,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/day,integer,,,,,
Event,http://rs.tdwg.org/dwc/terms/verbatimEventDate,,,,,,
Event,http://rs.tdwg.org/dwc/terms/habitat,,,,,,
Event,http://rs.tdwg.org/dwc/terms/samplingProtocol,,,,,,
Event,http://rs.tdwg.org/dwc/terms/sampleSizeValue,,,,,,
Event,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,,http://rs.gbif.org/vocabulary/gbif/unit_of_measurement_2015-07-10.xml,,,,
Event,http://rs.tdwg.org/dwc/terms/samplingEffort,,,,,,
Event,http://rs.tdwg.org/dwc/terms/fieldNotes,,,,,,
Event,http://rs.tdwg.org/dwc/terms/eventRemarks,,,,,,
Location,http://rs.tdwg.org/dwc/terms/locationID,,,,,,
Location,http://rs.tdwg.org/dwc/terms/higherGeographyID,,,,,,
Location,http://rs.tdwg.org/dwc/terms/higherGeography,,,,,,
Location,http://rs.tdwg.org/dwc/terms/continent,,,,,,
Location,http://rs.tdwg.org/dwc/terms/waterBody,,,,,,
