TermName,Label_en,Definition,Comments,absoluteorder
acceptedNameUsage,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.","Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",145
acceptedNameUsageID,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",138
associatedMedia,Associated Media,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://arctos.database.museum/SpecimenImages/UAMObs/Mamm/2/P7291179.JPG"", ""http://204.140.246.24/Fish/Collection%20Pictures/10118-00.jpg | http://204.140.246.24/Fish/Collection%20Pictures/10118-00a.jpg"".",34
associatedOccurrences,Associated Occurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,The recommended best practice is to separate the values with a vertical bar (' | ').,43
associatedOrganisms,Associated Organisms,A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.,"The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""sibling of MXA-232"", ""mother of MXA-231 | mother of MXA-232""",44
associatedReferences,Associated References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.sciencemag.org/cgi/content/abstract/322/5899/261"", ""Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767."", ""Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources."".",35
associatedSequences,Associated Sequences,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""http://www.ncbi.nlm.nih.gov/nuccore/U34853.1"", ""http://www.ncbi.nlm.nih.gov/nuccore/GU328060 | http://www.ncbi.nlm.nih.gov/nuccore/AF326093"".",36
associatedTaxa,Associated Taxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,"The recommended best practice is to separate the values with a vertical bar (' | '), and to separate the relationship from the taxon with a colon (':'). Examples: ""host: Quercus alba"", ""parasitoid of:Cyclocephala signaticollis | predator of Apis mellifera"".",37
basisOfRecord,Basis of Record,The specific nature of the data record.,"Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: ""PreservedSpecimen"", ""FossilSpecimen"", ""LivingSpecimen"", ""HumanObservation"", ""MachineObservation""",15
bed,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,,127
behavior,Behavior,A description of the behavior shown by the subject at the time the Occurrence was recorded.  Recommended best practice is to use a controlled vocabulary.,"Examples: ""roosting"", ""foraging"", ""running""",29
